Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Temperature [C]	Sigma	Salinity [psu]	oxper [%]	oxconc	tran [v]	flour [v]
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	4	3.963	11.6522	22.8805	30.1405	96.43517	8.66151	3.9059	0.9709
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	5	4.953	11.4776	23.0175	30.2771	95.11828	8.56823	4.0042	0.8929
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	6	5.944	11.434	23.1239	30.4042	97.478	8.78197	4.003	0.9981
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	7	6.935	11.475	23.1673	30.4695	102.19741	9.19524	4.0417	1.0317
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	8	7.925	11.5264	23.2314	30.5637	104.65108	9.39998	4.0493	0.9898
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	9	8.916	11.4426	23.2887	30.6183	106.03281	9.53817	3.9851	1.3114
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	10	9.906	11.206	23.3428	30.6345	105.33782	9.5233	3.8502	1.4855
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	11	10.897	11.1349	23.3822	30.6692	104.15496	9.42886	3.7775	1.6644
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	12	11.888	11.1095	23.4128	30.703	102.65361	9.29611	3.8342	1.9216
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	13	12.878	11.0814	23.4267	30.7144	102.35557	9.2741	3.8271	1.6581
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	14	13.869	10.9851	23.4624	30.739	98.66963	8.95741	3.8473	1.8291
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	15	14.859	10.7965	23.5499	30.8099	95.45823	8.69773	3.778	1.8598
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	16	15.85	10.6503	23.6229	30.8718	93.49739	8.54314	3.8192	1.7569
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	17	16.841	10.4933	23.7221	30.9652	94.03004	8.61637	3.8135	1.8403
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	18	17.831	10.3985	23.8409	31.0973	92.50254	8.48691	3.819	1.8023
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	19	18.821	10.2644	23.8945	31.1375	89.20326	8.20628	3.8631	1.309
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	20	19.812	10.1732	23.9174	31.1475	86.87692	8.00794	4.043	0.915
6	26	c	9/8/2004	15:25	-152.70667	58.64333	218	21	20.802	10.1148	23.9393	31.1633	85.5098	7.89132	4.1329	0.7799
